Devotion 19 // Ibiza Edition|devotion-19-ibiza-edition/2592360|Maniana Records|2019-06-03
Miami 2019|miami-2019/2542142|Dbeatzion Records|2019-03-18
Kick In The Groove|kick-in-the-groove/2483898|Dbeatzion Records|2019-01-25
New Year 2019|new-year-2019/2458657|Crumpled Sound|2018-12-31
2019 Weapons|2019-weapons/2463013|Dbeatzion Records|2018-12-28
Asia|asia/2451954|Rundell Beatz|2018-12-27
Policiya|policiya/2419491|Dbeatzion Records|2018-10-29
Dbeatzion Acapellas, Vol. 7|dbeatzion-acapellas-vol-7/2416511|Dbeatzion Records|2018-10-22
Like That (Ver-Dikt Remix)|like-that-ver-dikt-remix/2369355|Dbeatzion Records|2018-08-27
Lick Me All Around (Ver-Dikt Remix)|lick-me-all-around-ver-dikt-remix/2360388|Dbeatzion Records|2018-08-13
Sing It Back (Juan Ferreyro & Ver-Dikt Remixes)|sing-it-back-juan-ferreyro-ver-dikt-remixes/2346492|Dbeatzion Records|2018-07-23
Dbeatzion Acapellas, Vol. 6|dbeatzion-acapellas-vol-6/2342066|Dbeatzion Records|2018-07-16
We Ain't Ever Coming Down|we-aint-ever-coming-down/2330980|Dbeatzion Records|2018-07-09
Right Now|right-now/2276142|Dbeatzion Records|2018-05-07
Dbeatzion Acapellas Vol. 5|dbeatzion-acapellas-vol-5/2206429|Dbeatzion Records|2018-03-05
You & Me|you-me/2206372|Dbeatzion Records|2018-02-26
NY Dance 2018|ny-dance-2018/2170802|Crumpled Sound|2017-12-29
Hyperborea Ep|hyperborea-ep/2155411|Disco Balls Records|2017-12-15
8 Years of Dbeatzion Records (Part 5)|8-years-of-dbeatzion-records-part-5/2131064|Dbeatzion Records|2017-11-13
8 Years of Dbeatzion Records, Pt. 1|8-years-of-dbeatzion-records-pt-1/2126063|Dbeatzion Records|2017-10-30
Stop Dance|stop-dance/2108074|Dbeatzion Records|2017-10-02
DHM Sampler 006|dhm-sampler-006/2118129|Deep House Minister|2017-10-02
Inside You|inside-you/2099158|Crumpled Music|2017-09-29
I Need You EP|i-need-you-ep/2107347|Dbeatzion Records|2017-09-11
Asia|asia/2075736|Deep House Minister|2017-08-14
No Matter|no-matter/2056199|Deep House Minister|2017-07-31
Back To Me|back-to-me/2068956|Dbeatzion Records|2017-07-24
Sasha White Remix|sasha-white-remix/2036525|Deep House Minister|2017-07-03
Time Steel|time-steel/2054804|Dbeatzion Records|2017-07-03
Deeper|deeper/2019943|Deep House Minister|2017-06-12
The Funk|the-funk/2008865|Deep Strips|2017-05-26
Love Is Better|love-is-better/2013060|Deep Strips|2017-05-23
All You Want|all-you-want/1995001|Deep House Minister|2017-05-08
Don`t Give Up|dont-give-up/1968220|Deep House Minister|2017-04-03
Warbeats Frontline, Vol. 2|warbeats-frontline-vol-2/1959414|Warbeats Records|2017-03-06
This World|this-world/1935626|Deep House Minister|2017-02-20
Tati|tati/1908424|Carypla Records|2016-12-25
What Ever EP|what-ever-ep/1912027|Prison Entertainment|2016-12-09
Ver-Dikt|ver-dikt/1908488|Stereomoon|2016-12-07
PRISON WINTER SELECTION 2016|prison-winter-selection-2016/1896429|Prison Entertainment|2016-11-18
Soldier|soldier/1881340|Stereomoon|2016-11-01
